epoch,dice loss,BCE loss
0,0.4103268800359784,0.23396452934001433
1,0.1988840534379988,0.09275038958047375
2,0.1250441927801479,0.06402197248782172
3,0.09176235781474547,0.0501318174329671
4,0.07648305436878493,0.043917161553646576
5,0.07308484568740382,0.04411235858093609
6,0.062332268239873825,0.03719023490945498
7,0.058739885236277725,0.036026459892816616
8,0.05586518121488167,0.03460263867269863
9,0.050023752405787957,0.030761341620801075
10,0.046842888900727936,0.028922422901924812
11,0.044862510580005066,0.028011745152374107
12,0.04376895116134123,0.027481456089651947
13,0.04298960417509079,0.027021720723220795
14,0.0385643873702396,0.024180657935864998
15,0.03883958540179513,0.024570000019263138
16,0.037450943029288086,0.023490433496507732
17,0.036362106149846855,0.02307185172244455
18,0.03575514685927016,0.0225841925394806
19,0.0361361794851043,0.023199831107349106
