epoch,"X(0,1)","X(0,2)","X(0,3)","X(0,4)"
0,0.6124262658517752,0.7323312866154001,0.7466910801716705,0.7764516526193761
1,0.5960188214458636,0.6507869807641897,0.7550278208149013,0.8664977692846042
2,0.41120331011601347,0.2824268025248798,0.08351750516179782,0.36802698694058317
3,0.7823806529614463,0.8657075264560643,0.9219051964247404,0.9360725692848662
4,0.6375720518738476,0.5628544981799909,0.6415579292311597,0.8326911632694415
5,0.2561068966317533,0.05673286249277307,0.4391620232542949,0.710709602085512
6,0.8078262592429546,0.8696951021009417,0.931018966347424,0.9499039071709362
7,0.8262661713272778,0.8612648044059525,0.9385252986381303,0.9459503390895787
8,0.5591720444942588,0.6888385690859894,0.8598127222772854,0.9426418916502995
9,0.4955849522974954,0.6869416227981225,0.9064766248660301,0.948417087989067
10,0.7596085000393996,0.8669374789764632,0.943464506917925,0.9518859279689504
11,0.474047358356305,0.8405280371210468,0.9148582771642885,0.9412616847166374
12,0.5154574815906695,0.8173444110955765,0.9165585325725043,0.9432282314371707
13,0.8177622601167479,0.9079157514358634,0.948467276879211,0.950484628997632
14,0.7762574251018354,0.9173294047811138,0.9505275087570076,0.9574361968396315
15,0.7751107785239149,0.8312463626932742,0.8975518808436038,0.9353837708928692
16,0.07299405058373266,0.16965807329362897,0.4445541670073324,0.6839060178443567
17,0.8397213380728195,0.9109465533228063,0.9589656840509443,0.9606591560947362
18,0.3678252163218029,0.5853754477714425,0.8458767390962857,0.9433136778091317
19,0.6221289358921905,0.8458528652119992,0.9468975520845669,0.9597443368897509
